,Label,Abbreviation,Name,Chinese,Opening Year,Closing Year,Address,Postcode,Lat,Long
0,BP1,CCK,Choa Chu Kang,蔡厝港,1999.0,,10 Choa Chu Kang Avenue 4,689810.0,1.385,103.744444444444
1,BP10,FJR,Fajar,法嘉,1999.0,,40 Fajar Road,679004.0,1.38444444444444,103.770833333333
2,BP11,SGR,Segar,实加,1999.0,,50 Bukit Panjang Ring Road,679940.0,1.38777777777777,103.769444444444
3,BP12,JLP,Jelapang,泽拉邦,1999.0,,70 Bukit Panjang Ring Road,679941.0,1.38666666666666,103.764444444444
4,BP13,SNJ,Senja,信佳,1999.0,,90 Bukit Panjang Ring Road,679942.0,1.38277777777777,103.762222222222
5,BP14,TMJ,Ten Mile Junction,十里广场,1999.0,2019.0,1 Woodlands Road,677899.0,1.38027777777777,103.76
6,BP2,SHV,South View,南景,1999.0,,50 Choa Chu Kang Way,688265.0,1.38027777777777,103.745277777777
7,BP3,KTH,Keat Hong,吉丰,1999.0,,30 Choa Chu Kang Way,688266.0,1.37861111111111,103.748888888888
8,BP4,TKW,Teck Whye,德惠,1999.0,,10 Choa Chu Kang Way,688267.0,1.37666666666666,103.753611111111
9,BP5,PNX,Phoenix,凤凰,1999.0,,40 Choa Chu Kang Road,689483.0,1.37861111111111,103.758055555555
10,BP6,BKP,Bukit Panjang,武吉班让,1999.0,,950 Upper Bukit Timah Road,678213.0,1.37833333333333,103.761666666666
11,BP7,PTR,Petir,柏提,1999.0,,31 Petir Road,678269.0,1.37777777777777,103.766666666666
12,BP8,PND,Pending,秉定,1999.0,,9 Pending Road,678296.0,1.37611111111111,103.771111111111
13,BP9,BKT,Bangkit,万吉,1999.0,,20 Bukit Panjang Ring Road,679939.0,1.38,103.7725
14,CC1,DBG,Dhoby Ghaut,多美歌,2010.0,,11 Orchard Road,238826.0,1.2987913,103.8457636
15,CC10,MPS,MacPherson,麦波申,2010.0,,171 Paya Lebar Road,409048.0,1.32666666666666,103.89
16,CC11,TSG,Tai Seng,大成,2010.0,,33 Upper Paya Lebar Road,534803.0,1.33583333333333,103.888055555555
17,CC12,BLY,Bartley,巴特礼,2009.0,,90 Bartley Road,539788.0,1.34277777777777,103.879722222222
18,CC13,SER,Serangoon,实龙岗,2009.0,,600 Upper Serangoon Road,534801.0,1.3506972,103.8719398
19,CC14,LRC,Lorong Chuan,罗弄泉,2009.0,,150 Serangoon Avenue 3,554533.0,1.35166666666666,103.864166666666
20,CC15,BSH,Bishan,碧山,2009.0,,200 Bishan Road,579827.0,1.35111111111111,103.848333333333
21,CC16,MRM,Marymount,玛丽蒙,2009.0,,60 Marymount Road,573993.0,1.34916666666666,103.839444444444
22,CC17,CDT,Caldecott,加利谷,2011.0,,38 Toa Payoh Rise,298113.0,1.33777777777777,103.839444444444
23,CC18,,Bukit Brown,武吉布朗,,,490 Jalan Mashhor,299176.0,1.33361111111111,103.83
24,CC19,BTN,Botanic Gardens,植物园,2011.0,,100 Cluny Park Road,257494.0,1.3225,103.815277777777
25,CC2,BBS,Bras Basah,百胜,2010.0,,65 Bras Basah Road,189561.0,1.29694444444444,103.850555555555
26,CC20,FRR,Farrer Road,花拉路,2011.0,,71 Farrer Road,261006.0,1.31722222222222,103.807499999999
27,CC21,HLV,Holland Village,荷兰村,2011.0,,200 Holland Avenue,278995.0,1.31194444444444,103.796111111111
28,CC22,BNV,Buona Vista,波那维斯达,2011.0,,100 North Buona Vista Road,139345.0,1.3066254,103.7906823
29,CC23,ONH,one-north,纬壹,2011.0,,9 Ayer Rajah Avenue,138647.0,1.29944444444444,103.786944444444
30,CC24,KRG,Kent Ridge,肯特岗,2011.0,,301 South Buona Vista Road,118177.0,1.29333333333333,103.784444444444
31,CC25,HPV,Haw Par Villa,虎豹别墅,2011.0,,270 Pasir Panjang Road,117396.0,1.2825,103.781944444444
32,CC26,PPJ,Pasir Panjang,巴西班让,2011.0,,119 Pasir Panjang Road,117424.0,1.27611111111111,103.791388888888
33,CC27,LBD,Labrador Park,拉柏多公园,2011.0,,701 Telok Blangah Road,109029.0,1.27222222222222,103.802777777777
34,CC28,TLB,Telok Blangah,直落布兰雅,2011.0,,463 Telok Blangah Road,109028.0,1.27055555555555,103.809722222222
35,CC29,HBF,HarbourFront,港湾,2011.0,,81 Telok Blangah Road,98867.0,1.26527777777777,103.822222222222
36,CC3,EPN,Esplanade,滨海中心,2010.0,,90 Bras Basah Road,189562.0,1.29333333333333,103.855277777777
37,CC30,KPL,Keppel,吉宝,2026.0,,51 Keppel Road,99423.0,1.27,103.830277777777
38,CC31,CTM,Cantonment,广东民,2026.0,,100 Everton Road,89395.0,1.27277777777777,103.836666666666
39,CC32,PER,Prince Edward Road,爱德华太子路,2026.0,,80 Shenton Way,79122.0,1.27333333333333,103.847222222222
40,CC4,PMN,Promenade,宝门廊,2010.0,,2 Temasek Avenue,39193.0,1.29305555555555,103.861111111111
41,CC5,NCH,Nicoll Highway,尼诰大道,2010.0,,20 Republic Avenue,38970.0,1.29972222222222,103.863611111111
42,CC6,SDM,Stadium,体育场,2010.0,,3 Stadium Walk,397692.0,1.30277777777777,103.875277777777
43,CC7,MBT,Mountbatten,蒙巴登,2010.0,,301 Mountbatten Road,398006.0,1.30638888888888,103.8825
44,CC8,DKT,Dakota,达科达,2010.0,,201 Old Airport Road,397973.0,1.30833333333333,103.888333333333
45,CC9,PYL,Paya Lebar,巴耶利峇,2010.0,,30 Paya Lebar Road,409006.0,1.31777777777777,103.8925
46,CE,PMN,Promenade,宝门廊,2010.0,2026.0,2 Temasek Avenue,39193.0,1.29305555555555,103.861111111111
47,CE1,BFT,Bayfront,海湾舫,2012.0,2026.0,11 Bayfront Avenue,18957.0,1.28222222222222,103.859444444444
48,CE2,MRB,Marina Bay,滨海湾,2012.0,2026.0,21 Park Street,18925.0,1.27609722222222,103.854675
49,CC35,PMN,Promenade,宝门廊,2026.0,,2 Temasek Avenue,39193.0,1.29305555555555,103.861111111111
50,CC34,BFT,Bayfront,海湾舫,2026.0,,11 Bayfront Avenue,18957.0,1.28222222222222,103.859444444444
51,CC33,MRB,Marina Bay,滨海湾,2026.0,,21 Park Street,18925.0,1.27609722222222,103.854675
52,CG,TNM,Tanah Merah,丹那美拉,1989.0,,920 New Upper Changi Road,467356.0,1.32735833333333,103.946344444444
53,CG1,XPO,Expo,博览,2001.0,,21 Changi South Avenue 1,486065.0,1.33546944444444,103.961766666666
54,CG2,CGA,Changi Airport,樟宜机场,2002.0,,70 Airport Boulevard,819661.0,1.35737222222222,103.988836111111
55,CP1,PSR,Pasir Ris,巴西立,2030.0,,10 Pasir Ris Central,519634.0,1.3710597,103.9487471
56,CP2,PRL,Elias,伊莱雅,2032.0,,,,1.38388888888888,103.938055555555
57,CP3,RIV,Riviera,里维拉,2032.0,,40 Punggol East,828852.0,1.3944335,103.9161124
58,CP4,PGL,Punggol,榜鹅,2032.0,,70 Punggol Central,828868.0,1.40527777777777,103.9025
59,CR10,TVK,Tavistock,达维士笃,2030.0,,,,1.37,103.863333333333
