Name,Latitude,Longitude,Level,Funding,Type,Notes,Opening Year,School Code,Exp,NA,NT,IP,Affiliated Schools COP
Chung Cheng High School (Main),1.305091548,103.8916532,Secondary,Government-aidedAutonomousSAP,Mixed,Affiliated to: Nanyang Junior College (Non-IP) Chung Cheng High School (Yishun) (Non-IP),1939,7104,244,269,248,,
Chung Cheng High School (Yishun),1.419226036,103.8373908,Secondary,Government-aided,Mixed,Affiliated to: Nanyang Junior College (Non-IP) Chung Cheng High School (Main) (Non-IP),1947,7105,241,185,142,,
Clementi Primary School,1.315063218,103.7631445,Primary,Government,Mixed,,,1772,,,,,
Clementi Town Secondary School,1.315539129,103.7620206,Secondary,Government,Mixed,,1980,3029,235,178,120,,
Commonwealth Secondary School,1.319203959,103.7456374,Secondary,GovernmentAutonomous,Mixed,,1964,3012,239,180,114,,
Compassvale Primary School,1.394445296,103.8978122,Primary,Government,Mixed,,,1757,,,,,
Compassvale Secondary School,1.39614084,103.8998472,Secondary,Government,Mixed,,2000,3622,215,176,139,,
Concord Primary School,1.380008062,103.7362254,Primary,Government,Mixed,,,1760,,,,,
Coral Primary School,1.368,103.9486,Primary,Government,Mixed,Merged with White Sands Primary School in 2019[5],,1754,,,,,
Corporation Primary School,1.350997799,103.7075937,Primary,Government,Mixed,,,1132,,,,,
Crescent Girls' School,1.29331947,103.8175445,Secondary,GovernmentAutonomous,Girls,,1956,3005,243,,,,
Da Qiao Primary School,0,0,Primary,Government,Mixed,Merged with Jing Shan Primary School in 2019[5],,1168,,,,,
Damai Primary School,1.335461068,103.9212702,Primary,Government,Mixed,,,1102,,,,,
Damai Secondary School,1.336927985,103.9270917,Secondary,Government,Mixed,,1994,3056,188,152,112,,
Dazhong Primary School,1.359179745,103.7484721,Primary,Government,Mixed,,,1229,,,,,
De La Salle School,1.39470783,103.7432018,Primary,Government-aided,Mixed,"Lasallian school,[6] founded in 1952.",,5008,,,,,
Deyi Secondary School,1.365997026,103.8525458,Secondary,Government,Mixed,,1980,3228,222,166,127,,
Dunearn Secondary School,1.363579008,103.7447211,Secondary,Government,Mixed,,,3503,188,153,117,,
Dunman High School,1.29996216,103.8829416,Secondary,GovernmentAutonomousSAPIP,Mixed,,1956,3101,255,,,,
Dunman Secondary School,1.360652583,103.9562139,Secondary,GovernmentAutonomous,Mixed,,1963,3207,232,183,140,,
East Coast Primary School,0,0,Primary,Government,Mixed,Merged with Damai Primary School in 2019[5],,1183,,,,,
East Spring Primary School,1.352684007,103.9616768,Primary,Government,Mixed,,,1755,,,,,
East Spring Secondary School,1.35622509,103.9606407,Secondary,Government,Mixed,,1999,3609,188,157,109,,
East View Primary School,1.3469,103.939,Primary,Government,Mixed,"Now closed, merged with Junyuan in 2019.[5]",,1237,,,,,
Edgefield Primary School,1.400091395,103.9078476,Primary,Government,Mixed,,,1769,,,,,
Edgefield Secondary School,1.4005931,103.9026874,Secondary,Government,Mixed,,2011,3075,230,186,148,,
Elias Park Primary School,1.374512694,103.9451281,Primary,Government,Mixed,,,1737,,,,,
Endeavour Primary School,1.454038375,103.8174362,Primary,Government,Mixed,,,1252,,,,,
Eunos Primary School,1.324476299,103.9045413,Primary,Government,Mixed,,,1119,,,,,
Evergreen Primary School,1.444153328,103.7945778,Primary,Government,Mixed,,,1756,,,,,
Evergreen Secondary School,1.441491313,103.7941378,Secondary,Government,Mixed,,2000,3623,229,179,138,,
Fairfield Methodist School,1.300540825,103.7854383,Primary,Government-aided,Mixed,,,5020,,,,,
Fairfield Methodist Secondary School,1.301633744,103.7840996,Secondary,Government-aidedAutonomous,Mixed,Affiliated to: Anglo-Chinese Junior College (Non-IP) Fairfield Methodist School,1888,7309,243,187,97,,Fairfield Methodist School: 200
Fajar Secondary School,1.375600053,103.7639989,Secondary,Government,Mixed,,,3064,188,152,94,,
Farrer Park Primary School,1.31236857,103.8507662,Primary,Government,Mixed,,,1246,,,,,
Fengshan Primary School,1.329805988,103.9317103,Primary,Government,Mixed,,,,,,,,
Fernvale Primary School,1.39030228,103.8744455,Primary,Government,Mixed,,,1177,,,,,
First Toa Payoh Primary School,1.340322995,103.8555299,Primary,Government,Mixed,,,,,,,,
Frontier Primary School,1.336412987,103.6997017,Primary,Government,Mixed,,,1257,,,,,
Fuchun Primary School,1.430479908,103.7781929,Primary,Government,Mixed,,,1208,,,,,
Fuchun Secondary School,1.430704529,103.7776257,Secondary,Government,Mixed,,1986,3024,188,152,108,,
Fuhua Primary School,1.336503948,103.7361037,Primary,Government,Mixed,,,1107,,,,,
Fuhua Secondary School,1.347014089,103.7265209,Secondary,Government,Mixed,,2000,3614,236,176,105,,
Gan Eng Seng Primary School,1.285595165,103.8155474,Primary,Government,Mixed,,,1221,,,,,
Gan Eng Seng School,1.289071145,103.8237337,Secondary,Government,Mixed,,1885,3006,227,179,141,,
Geylang Methodist School,1.317591268,103.8838457,Primary,Government-aided,Mixed,,,5022,,,,,
Geylang Methodist School,1.317649005,103.8826611,Secondary,Government-aided,Mixed,Affiliated to: Anglo-Chinese Junior College (Non-IP) Geylang Methodist School,1924,7005,231,181,143,,Geylang Methodist School: 197
Gongshang Primary School,1.357237214,103.9491153,Primary,Government,Mixed,,,1222,,,,,
Greendale Primary School,1.396481951,103.9123346,Primary,Government,Mixed,,,1251,,,,,
Greendale Secondary School,1.396960199,103.9117001,Secondary,Government,Mixed,,2006,3074,213,180,143,,
Greenridge Primary School,1.385889219,103.7677945,Primary,Government,Mixed,,,1245,,,,,
Greenridge Secondary School,1.381864337,103.7738285,Secondary,Government,Mixed,,1964,3051,193,156,108,,
Greenwood Primary School,1.439899583,103.8047256,Primary,Government,Mixed,,,1765,,,,,
Guangyang Primary School,1.345690115,103.8494532,Primary,Government,Mixed,,,1735,,,,,
Guangyang Secondary School,1.34440856,103.8502089,Secondary,Government,Mixed,,1987,3238,192,152,105,,
Hai Sing Catholic School,1.374346412,103.9549579,Secondary,Government-aided,Mixed,Affiliated to: Catholic Junior College (Non-IP),1959,7031,225,172,119,,
Haig Girls' School,1.311943443,103.9029026,Primary,Government,Girls,,,,,,,,
Henry Park Primary School,1.316676462,103.7842962,Primary,Government,Mixed,,,1221,,,,,
Hillgrove Secondary School,1.352735766,103.7529865,Secondary,Government,Mixed,,2001,3048,211,166,123,,
Holy Innocents' High School,1.371545088,103.8963988,Secondary,Government-aided,Mixed,Affiliated to: Catholic Junior College (Non-IP) Holy Innocents' Primary School,1892,7108,232,181,131,,Holy Innocents' Primary School: 188
Holy Innocents' Primary School,1.366938309,103.8941149,Primary,"Government-aided, SAP",Mixed,,,,,,,,
Hong Kah Secondary School,1.351666671,103.7270839,Secondary,Government,Mixed,,,3060,,,,,
Hong Wen School,1.32176,103.8576285,Primary,"Government-aided, SAP",Mixed,,,,,,,,
Horizon Primary School,1.399550034,103.9134049,Primary,Government,Mixed,,,1255,,,,,
Hougang Primary School,1.377382452,103.8808053,Primary,Government,Mixed,,,1763,,,,,
Hougang Secondary School,1.377640193,103.882534,Secondary,Government,Mixed,,2001,3046,205,165,129,,
Hua Yi Secondary School,1.352343655,103.7218323,Secondary,Government,Mixed,,,3226,227,182,144,,
Huamin Primary School,1.426972845,103.8442402,Primary,Government,Mixed,,,1223,,,,,
Hwa Chong Institution,1.325888675,103.8007472,Secondary,IndependentSAPIP,Boys,Offers the Hwa Chong Diploma Affiliated to: Nanyang Girls' High School (IP),2005,806,257,,,,
Innova Primary School,1.428967007,103.7906075,Primary,Government,Mixed,,,1250,,,,,
Jiemin Primary School,1.427688477,103.8304255,Primary,Government,Mixed,,,1207,,,,,
Jing Shan Primary School,1.37223291,103.8521322,Primary,Government,Mixed,Merged with Da Qiao Primary School in 2019[5],,1166,,,,,
Junyuan Primary School,1.347870545,103.9392207,Primary,Government,Mixed,,,1727,,,,,
Junyuan Secondary School,1.353613153,103.9338862,Secondary,Government,Mixed,,1999,3608,191,155,114,,
Jurong Primary School,1.348600203,103.7331566,Primary,Government,Mixed,,,1045,,,,,
Jurong Secondary School,1.330020322,103.723953,Secondary,Government,Mixed,,1963,3211,228,177,133,,
Jurong West Primary School,1.339175198,103.6988037,Primary,Government,Mixed,,,1753,,,,,
Jurong West Secondary School,1.335256347,103.7020989,Secondary,Government,Mixed,,,3068,214,172,125,,
Jurongville Secondary School,1.351288628,103.7289077,Secondary,Government,Mixed,,,3063,202,160,134,,
Juying Primary School,1.339022647,103.6877696,Primary,Government,Mixed,,,1726,,,,,
Juying Secondary School,1.338722773,103.6873103,Secondary,Government,Mixed,,,3066,198,160,135,,
Keming Primary School,1.3455285,103.7564494,Primary,Government,Mixed,,,1238,,,,,
Kent Ridge Secondary School,1.301227734,103.7648896,Secondary,Government,Mixed,,,3619,217,167,108,,
Kheng Cheng School,1.337338194,103.8471485,Primary,Government-aided,Mixed,,,,,,,,
Kong Hwa School,1.31099674,103.888352,Primary,"Government-aided, SAP",Mixed,Affiliated to Singapore Hokkien Huay Kuan[4],,5168,,,,,
Kranji Primary School,1.393560505,103.7473627,Primary,Government,Mixed,,,1745,,,,,
Kranji Secondary School,1.390051099,103.7411907,Secondary,Government,Mixed,,1995,3065,234,180,126,,
Kuo Chuan Presbyterian Primary School,1.349398137,103.8550182,Primary,Government-aided,Mixed,,,5024,,,,,
Kuo Chuan Presbyterian Secondary School,1.350075623,103.8553652,Secondary,Government-aided,Mixed,Affiliated to: St. Andrews Junior College (Non-IP) Kuo Chuan Presbyterian Primary School,1924,7028,238,171,,,Kuo Chuan Presbyterian Primary School: 200
Lakeside Primary School,1.338203977,103.7180895,Primary,Government,Mixed,,,1248,,,,,
Lianhua Primary School,1.354241911,103.7541658,Primary,Government,Mixed,,,1232,,,,,
Loyang Primary School,1.3709,103.9538,Primary,Government,Mixed,Merged with Casuarina Primary School in 2019[5],,1042,,,,,
Loyang View Secondary School,1.366584172,103.9569446,Secondary,Government,Mixed,,1989,3049,188,152,104,,
MacPherson Primary School,0,0,Primary,Government,Mixed,Merged with Cedar Primary School in 2019[5],,,,,,,
Maha Bodhi School,1.328470867,103.9012987,Primary,"Government-aided, SAP",Mixed,,,5601,,,,,
Manjusri Secondary School,1.327471231,103.90172,Secondary,Government-aided,Mixed,"Affiliated to: Mee Toh School, Maha Bodhi School",1982,7307,197,152,97,,Maha Bodhi School: 189
Maris Stella High School,1.341394734,103.8778525,Primary,"Government-aided, SAP",Boys,,1958,,,,,,
Maris Stella High School,1.341394734,103.8778525,Secondary,Government-aidedAutonomousSAP,Boys,Affiliated to: Catholic Junior College (Non-IP) Maris Stella High School,1958,7111,239,,,,Maris Stella High School: 226
Marsiling Primary School,1.43383904,103.773643,Primary,Government,Mixed,,,,,,,,
Marsiling Secondary School,1.436644248,103.7760081,Secondary,Government,Mixed,,2000,3615,188,152,104,,
Marymount Convent School,1.34036677,103.8400211,Primary,Government-aided,Girls,,,,,,,,
Mayflower Primary School,1.376146217,103.8358052,Primary,Government,Mixed,,,1151,,,,,
Mayflower Secondary School,1.368272662,103.8353607,Secondary,Government,Mixed,,1981,3031,224,174,105,,
Mee Toh School,1.394618454,103.9085895,Primary,Government-aided,Mixed,,,5183,,,,,
Meridian Primary School,1.375528317,103.9348891,Primary,Government,Mixed,,,1764,,,,,
Meridian Secondary School,1.367246849,103.9489725,Secondary,Government,Mixed,,1999,3076,212,163,137,,
Methodist Girls' School,1.349472763,103.8849713,Primary,Government-aided,Girls,,,5027,,,,,
