Name,Location,Unit,Search,Address,Postal Code,Latitude,Longitude,Link
KFC,Bendemeer (Others),#01-246/248,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",Blk 102 Towner Road  #01-246/248 Singapore 322102,322102,1.3206,103.862,https://www.halaltag.com/place/5
KFC,Bugis Junction,#B1-09,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",200 Victoria Street #B1-09  Singapore 188021,188021,1.2991,103.8554,https://www.halaltag.com/place/5
KFC,Bukit Batok (Others),#01-296,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",Blk 153 Bukit Batok Street 11  #01-296  Singapore 650153,650153,1.3476,103.7443,https://www.halaltag.com/place/5
KFC,Bukit Merah (Others),#01-4436,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",Blk 7 Jalan Bukit Merah  #01-4436  Singapore 150007,150007,1.2873,103.808,https://www.halaltag.com/place/5
KFC,Bukit Merah Central,#01-3555,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",Blk 162 Bukit Merah Central  #01-3555  Singapore 150162,150162,1.2838,103.8175,https://www.halaltag.com/place/5
KFC,Bukit Panjang Plaza,#02-08/09,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",1 Jelebu Road #02-08/09  Singapore 677743,677743,1.3802,103.7642,https://www.halaltag.com/place/5
KFC,Bukit Timah Plaza,#B1-01,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",Jalan Anak Bukit #B1-01  Singapore 588996,588996,1.3387,103.7786,https://www.halaltag.com/place/5
KFC,Cathay Cineleisure Orchard,#01-05,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",8 Grange Road #01-05  Singapore 239695,239695,1.3015,103.8364,https://www.halaltag.com/place/5
KFC,Causeway Point,#01-40,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",1 Woodlands Square #01-40  Singapore 738099,738099,1.436,103.786,https://www.halaltag.com/place/5
KFC,Chinatown Point,,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",None,0,1.2852,103.8449,https://www.halaltag.com/place/5
KFC,Choa Chu Kang (Others),#01-02,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",Blk 253 Choa Chu Kang Ave 1 #01-02  Singapore 680253,680253,1.3773,103.7444,https://www.halaltag.com/place/5
KFC,City Square Mall,#B1-29/30,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",180 Kitchener Road #B1-29/30  Singapore 208539,208539,1.3114,103.8566,https://www.halaltag.com/place/5
KFC,Clementi Central,#01-309,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",Blk 451 Clementi Avenue 3  #01-309  Singapore 120451,120451,1.3127,103.7657,https://www.halaltag.com/place/5
KFC,Clementi Mall,#B1-32/33,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",3155 Commonwealth Avenue West #B1-32/33  Singapore 129588,129588,1.3152,103.7645,https://www.halaltag.com/place/5
KFC,Compass One,#B1-26/27,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",1 Sengkang Square #B1-26/27  Singapore 545078,545078,1.392,103.8951,https://www.halaltag.com/place/5
KFC,Downtown East E!Avenue,#01-337,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",1 Pasir Ris Close #01-337 Singapore 519599,519599,1.3772,103.9552,https://www.halaltag.com/place/5
KFC,Eastpoint Mall,#01,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",3 Simei Street 6 #01 Singapore 528833,528833,1.3427,103.953,https://www.halaltag.com/place/5
KFC,FairPrice Hub,#01-21,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",1 Joo Koon Circle #01-21 Singapore 629117,629117,1.3257,103.6783,https://www.halaltag.com/place/5
KFC,Far East Plaza,#01-,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",14 Scotts Road #01- 06  Singapore 228213,228213,1.3072,103.8338,https://www.halaltag.com/place/5
