Label,Abbreviation,Name,Chinese,Opening Year,Closing Year,Address,Postcode,Lat,Long
NS1,JUR,Jurong East,裕廊东,1990,,10 Jurong East Street 12,609690,1.333333333,103.7422222
NS10,ADM,Admiralty,海军部,1996,,70 Woodlands Avenue 7,738344,1.440688889,103.8009333
NS11,SBW,Sembawang,三巴旺,1996,,11 Canberra Road,759775,1.449025,103.8201528
NS12,CBR,Canberra,坎贝拉,2019,,11 Canberra Link,756972,1.443055556,103.8297222
NS13,YIS,Yishun,义顺,1988,,301 Yishun Avenue 2,769093,1.429463889,103.8352389
NS14,KTB,Khatib,卡迪,1988,,201 Yishun Avenue 2,769092,1.417166667,103.8329
NS15,YCK,Yio Chu Kang,杨厝港,1987,,3000 Ang Mo Kio Avenue 8,569813,1.381905556,103.8448167
NS16,AMK,Ang Mo Kio,宏茂桥,1987,,2450 Ang Mo Kio Avenue 8,569811,1.370016667,103.84945
NS17,BSH,Bishan,碧山,1987,,200 Bishan Road,579827,1.351111111,103.8483333
NS18,BDL,Braddell,布莱德,1987,,377 Lorong 1 Toa Payoh,319756,1.340338889,103.846725
NS19,TAP,Toa Payoh,大巴窑,1987,,510 Lorong 6 Toa Payoh,319398,1.332777778,103.8475
NS2,BBT,Bukit Batok,武吉巴督,1990,,10 Bukit Batok Central,659958,1.349166667,103.7497222
NS20,NOV,Novena,诺维娜,1987,,250 Thomson Road,307642,1.320394444,103.8436889
NS21,NEW,Newton,纽顿,1987,,49 Scotts Road,228234,1.313055556,103.8383333
NS22,ORC,Orchard,乌节,1987,,437 Orchard Road,238878,1.303333333,103.8316667
NS23,SOM,Somerset,索美塞,1987,,1 Somerset Road,238162,1.300513889,103.8390278
NS24,DBG,Dhoby Ghaut,多美歌,1987,,11 Orchard Road,238826,1.299166667,103.8458333
NS25,CTH,City Hall,政府大厦,1987,,150 North Bridge Road,179100,1.293238889,103.8522194
NS26,RFP,Raffles Place,莱佛士坊,1987,,5 Raffles Place,48618,1.283880556,103.8515333
NS27,MRB,Marina Bay,滨海湾,1989,,21 Park Street,18925,1.276097222,103.854675
NS28,MSP,Marina South Pier,滨海南码头,2014,,33 Marina Coastal Drive,18948,1.270958333,103.8632417
NS3,BGB,Bukit Gombak,武吉甘柏,1990,,802 Bukit Batok West Avenue 5,659083,1.358611111,103.7516667
NS3A,,Brickland,红砖,2035,,,,1.369722222,103.7477778
NS4,CCK,Choa Chu Kang,蔡厝港,1990,,10 Choa Chu Kang Avenue 4,689810,1.385,103.7444444
NS5,YWT,Yew Tee,油池,1996,,61 Choa Chu Kang Drive,689715,1.396986111,103.7472389
NS6,,Sungei Kadut,双溪加株,2035,,,,1.413204,103.7487115
NS7,KRJ,Kranji,克兰芝,1996,,960 Woodlands Road,738702,1.425047222,103.7618528
NS8,MSL,Marsiling,马西岭,1996,,71 Woodlands Avenue 3,739044,1.432636111,103.7742833
NS9,WDL,Woodlands,兀兰,1996,,30 Woodlands Avenue 2,738343,1.437094444,103.7864833
PE1,COV,Cove,海湾,2005,,50 Punggol Field,828858,1.398111111,103.905725
PE2,MRD,Meridian,丽园,2005,,60 Punggol Field,828857,1.397363889,103.9085917
PE3,CRE,Coral Edge,珊瑚,2005,,70 Punggol Field,828856,1.394647222,103.9120389
PE4,RIV,Riviera,里维拉,2005,,40 Punggol East,828852,1.394438889,103.9167722
PE5,KDL,Kadaloor,卡达鲁,2005,,60 Punggol Drive,828853,1.399686111,103.9163528
PE6,OAS,Oasis,绿洲,2007,,50 Punggol Drive,828854,1.402369444,103.9124222
PE7,DAM,Damai,达迈,2011,,40 Punggol Drive,828855,1.404813889,103.908875
PE0,PGL,Punggol,榜鹅,2005,,70 Punggol Central,828868,1.405277778,103.9025
PE8,PGL,Punggol,榜鹅,2005,,70 Punggol Central,828868,1.405277778,103.9025
PW8,PGL,Punggol,榜鹅,2014,,70 Punggol Central,828868,1.405277778,103.9025
PW0,PGL,Punggol,榜鹅,2014,,70 Punggol Central,828868,1.405277778,103.9025
PW1,SMK,Sam Kee,三记,2016,,10 Sentul Crescent,828851,1.40975,103.9045833
PW2,TKL,Teck Lee,德利,,,101 Ponggol Seventeenth Avenue,828861,1.4128,103.9062333
PW3,PGP,Punggol Point,榜鹅坊,2016,,81 Punggol Way,828644,1.416883333,103.9063528
PW4,SMD,Samudera,山姆,2017,,61 Punggol Way,828645,1.41595,103.9018556
PW5,NBG,Nibong,尼蒙,2014,,41 Punggol Way,828862,1.411877778,103.9000278
PW6,SMG,Sumang,苏芒,2014,,31 Punggol Way,828863,1.408055556,103.8986111
PW7,STK,Soo Teck,树德,2014,,21 Punggol Way,828864,1.405416667,103.8969444
SE1,CPV,Compassvale,康埔桦,2003,,10 Compassvale Street,545055,1.394444444,103.9002778
SE2,RMB,Rumbia,棕美,2003,,70 Rivervale Drive,545054,1.391094444,103.9063056
SE3,BAK,Bakau,码高,2003,,50 Rivervale Drive,545053,1.387852778,103.9052667
SE4,KGK,Kangkar,港脚,2003,,20 Rivervale Drive,545052,1.383738889,103.9021944
SE5,RNG,Ranggung,兰岗,2003,,30 Sengkang East Avenue,545046,1.383619444,103.8977361
